outlets,avg_rating,median_rating,latitude,longitude,segment_diversity
117,3.517094017094017,3.6,13.03775811965812,80.2051170940171,0.7006739012957042
116,3.8155172413793106,3.8,13.030425862068967,80.23877586206896,0.7622922201566604
116,3.5,3.6,12.990380172413794,80.23690172413794,0.7157844468730056
116,3.49051724137931,3.6,12.992360344827587,80.24348103448276,0.7760230063851697
116,3.4620689655172416,3.6,12.977233620689656,80.19713275862068,0.6946177216491033
116,3.595689655172414,3.6,13.059445689655172,80.23221034482759,0.8180345894916754
116,3.4827586206896552,3.6,13.049313793103448,80.25553534482758,0.6670786388244769
113,3.4106194690265483,3.6,12.94543185840708,80.20588407079646,0.6814931338145414
112,3.5151785714285713,3.6,12.88770892857143,80.21991696428572,0.71957154795959
108,3.4416666666666664,3.6,13.033519444444446,80.20202685185185,0.7631763357880204
105,3.4761904761904763,3.6,12.75769619047619,80.03921904761906,0.7918040388756798
101,3.5316831683168317,3.6,12.984551485148517,80.19139603960396,0.7241572183245287
98,3.6295918367346935,3.6,13.05509081632653,80.22403775510203,0.6706469627080482
95,3.542105263157895,3.6,13.050747368421051,80.25210842105263,0.6350467903993325
94,3.452127659574468,3.6,13.060955319148936,80.16476914893617,0.7330211522667549
92,3.5728260869565216,3.6,12.939864130434783,80.2193347826087,0.715810898928768
86,3.511627906976744,3.6,13.062783720930232,80.2102465116279,0.7841241366809288
75,3.4346666666666668,3.6,13.027893333333333,80.238452,0.7803402856804473
74,3.4310810810810812,3.6,13.043056756756757,80.19145405405405,0.6571281900784912
73,3.5260273972602736,3.6,13.15408904109589,80.29361095890411,0.7622292658334627
73,3.550684931506849,3.6,13.091575342465752,80.28044794520548,0.7186768577324304
73,3.5739726027397256,3.6,13.005993150684931,80.19925616438356,0.7341558913301076
73,3.4465753424657533,3.6,13.10221095890411,79.98671780821917,0.7474932475663474
70,3.512857142857143,3.6,13.04679,80.20674428571428,0.7406242052478972
69,3.546376811594203,3.6,13.06161304347826,80.21960144927536,0.6705616115822483
69,3.4579710144927533,3.6,12.86207391304348,80.21391594202899,0.7173277951408152
67,3.450746268656716,3.6,12.904062686567164,80.0949552238806,0.6566602911671094
65,3.4615384615384617,3.6,13.031163076923075,80.22027846153847,0.7164813534939394
61,3.527868852459016,3.6,12.891506557377049,80.21653606557378,0.7689875657514972
61,3.442622950819672,3.6,13.031759016393444,80.22048852459017,0.5880796585907381
60,3.481666666666667,3.6,13.074463333333334,80.24937333333334,0.7971665480649552
59,3.53728813559322,3.6,13.08806440677966,80.27153389830508,0.6926343852306054
59,3.4491525423728815,3.6,13.122013559322035,80.22535593220339,0.723905681735019
58,3.443103448275862,3.6,13.046524137931033,80.24789310344828,0.7833211249130511
55,3.505454545454546,3.6,12.942141818181819,80.22592363636363,0.7820717044664692
53,3.4358490566037734,3.5,13.127050943396226,80.18277547169812,0.7655699803354369
51,3.4862745098039216,3.6,12.990788235294119,80.23878235294119,0.7197238062919046
